quality_rule,waveform,action_id,action_code,excluded_participant_code,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes
unaltered_nonzero_primary,racket,6,BP,17,16.7451209018,18.2150497905,1.0877825187,9.7900426683,10,0
unaltered_nonzero_primary,racket,6,BP,18,16.06365104,17.9637712509,1.11828694524,10.0645825072,11,0
unaltered_nonzero_primary,racket,6,BP,19,16.8136718466,18.2657064901,1.08636035345,9.77724318108,10,0
unaltered_nonzero_primary,racket,6,BP,20,16.8490497982,18.4863118657,1.097172368,9.87455131202,10,0
unaltered_nonzero_primary,racket,6,BP,21,16.5877016051,18.2810470666,1.10208439372,9.91875954346,10,0
unaltered_nonzero_primary,racket,6,BP,22,16.6112022621,18.2667727971,1.09966590671,9.89699316038,10,0
unaltered_nonzero_primary,racket,6,BP,23,16.063288643,18.3592498771,1.14293220306,10.2863898276,11,0
unaltered_nonzero_primary,racket,6,BP,24,16.6851402045,18.3193691915,1.09794517558,9.88150658026,10,0
unaltered_nonzero_primary,racket,6,BP,25,16.8237712185,18.5553181921,1.10292264149,9.92630377339,10,0
unaltered_nonzero_primary,racket,6,BP,26,16.5117673408,17.2851627197,1.0468390429,9.4215513861,10,0
unaltered_nonzero_primary,racket,6,BP,27,15.9457601323,17.8907408632,1.12197478921,10.0977731029,11,0
unaltered_nonzero_primary,racket,6,BP,28,15.1952553416,17.8592484448,1.17531742924,10.5778568632,11,0
unaltered_nonzero_primary,racket,6,BP,29,16.6701120653,18.1185171809,1.08688634545,9.78197710904,10,0
unaltered_nonzero_primary,racket,6,BP,30,16.4383347385,18.5455523912,1.12818924095,10.1537031686,11,0
unaltered_nonzero_primary,body_configuration,1,FA,1,1.17851511595,0.680118660248,0.577097952365,5.19388157129,6,0
unaltered_nonzero_primary,body_configuration,1,FA,2,1.16035573687,0.671830639138,0.578986786373,5.21088107736,6,0
unaltered_nonzero_primary,body_configuration,1,FA,3,1.14546623104,0.660076922733,0.576251752209,5.18626576988,6,0
unaltered_nonzero_primary,body_configuration,1,FA,4,1.14044084556,0.670267533266,0.587726698736,5.28954028862,6,0
unaltered_nonzero_primary,body_configuration,1,FA,5,0.921813712516,0.649563444694,0.704658040854,6.34192236768,7,0
unaltered_nonzero_primary,body_configuration,1,FA,6,1.16083991611,0.681414977738,0.587001677218,5.28301509496,6,0
unaltered_nonzero_primary,body_configuration,1,FA,7,1.17340993924,0.674566276869,0.574876907303,5.17389216572,6,0
unaltered_nonzero_primary,body_configuration,1,FA,8,1.17541769516,0.679244831852,0.577875281823,5.20087753641,6,0
unaltered_nonzero_primary,body_configuration,1,FA,9,1.16102969651,0.683053976567,0.58831740361,5.29485663249,6,0
unaltered_nonzero_primary,body_configuration,1,FA,10,1.10253529156,0.674225826459,0.611523124584,5.50370812125,6,0
unaltered_nonzero_primary,body_configuration,1,FA,11,1.17671853968,0.673420886453,0.572287138977,5.1505842508,6,0
