curve_family,normalised_time_pct,component,display_rolling_11
racket,22.61306532663316,athlete,0.03597502937771225
racket,23.11557788944723,athlete,0.036066154265077616
racket,23.618090452261303,athlete,0.03598926368801091
racket,24.120603015075375,athlete,0.035720238072678254
racket,24.623115577889443,athlete,0.03547559518775685
racket,25.125628140703515,athlete,0.03518660934394285
racket,25.628140703517587,athlete,0.036603613507677886
racket,26.130653266331656,athlete,0.03603872061946276
racket,26.633165829145725,athlete,0.03545431130398096
racket,27.135678391959797,athlete,0.03483409450966451
racket,27.63819095477387,athlete,0.03415845190218825
racket,28.140703517587937,athlete,0.03351158710723517
racket,28.64321608040201,athlete,0.032853940061900136
racket,29.14572864321608,athlete,0.03221074530407653
racket,29.64824120603015,athlete,0.03163288168164262
racket,30.15075376884422,athlete,0.030809619620750683
racket,30.653266331658287,athlete,0.03017120992518889
racket,31.15577889447236,athlete,0.029738758119171663
racket,31.65829145728643,athlete,0.029374288886496545
racket,32.1608040201005,athlete,0.029094128014464097
racket,32.66331658291457,athlete,0.028547074896401906
racket,33.16582914572864,athlete,0.028431152647245616
racket,33.66834170854271,athlete,0.028442798529880246
racket,34.17085427135678,athlete,0.02809332371705694
racket,34.67336683417085,athlete,0.028036252078322266
racket,35.175879396984925,athlete,0.027829225563901213
racket,35.678391959798994,athlete,0.028048395466424157
racket,36.18090452261306,athlete,0.028286959447834936
racket,36.68341708542713,athlete,0.028352687801714408
racket,37.1859296482412,athlete,0.028262732638228746
racket,37.688442211055275,athlete,0.02791284334084575
racket,38.19095477386934,athlete,0.027966480802682728
racket,38.69346733668341,athlete,0.027666750849641444
racket,39.19597989949749,athlete,0.02736886731710532
racket,39.69849246231155,athlete,0.027299658653962985
racket,40.201005025125625,athlete,0.026824553957836072
racket,40.70351758793969,athlete,0.026762264725167084
racket,41.20603015075376,athlete,0.026729029019922225
racket,41.70854271356784,athlete,0.026281846673524376
racket,42.211055276381906,athlete,0.02568683572590238
racket,42.713567839195974,athlete,0.024978758839167937
racket,43.21608040201005,athlete,0.02430768133021065
racket,43.71859296482412,athlete,0.023224599913116928
racket,44.22110552763819,athlete,0.022361041215726383
racket,44.723618090452256,athlete,0.021526072722247627
racket,45.22613065326632,athlete,0.020458341213385647
racket,45.7286432160804,athlete,0.018626360672985964
racket,46.23115577889447,athlete,0.016300391373906962
racket,46.73366834170854,athlete,0.013682250322103563
racket,47.23618090452261,athlete,0.01138189011359807
racket,47.73869346733668,athlete,0.009326659370306018
racket,48.24120603015075,athlete,0.007502050652190408
racket,48.74371859296482,athlete,0.005849647063202063
racket,49.24623115577889,athlete,0.004531632952643191
racket,49.74874371859296,athlete,0.0030317338174602267
racket,50.25125628140703,athlete,0.0014203994430980272
