waveform,action_id,action_code,trials,R_L2_independence
body_configuration,1,FA,40,0.9857972215535651
body_configuration,1,FA,41,0.9861388291464381
body_configuration,1,FA,42,0.9864643898952308
body_configuration,1,FA,43,0.9867750085412016
body_configuration,1,FA,44,0.9870716906929887
body_configuration,1,FA,45,0.9873553537020686
body_configuration,1,FA,46,0.9876268361372273
body_configuration,1,FA,47,0.9878869060641767
body_configuration,1,FA,48,0.9881362683024962
body_configuration,1,FA,49,0.9883755708043002
body_configuration,1,FA,50,0.9886054102761849
body_configuration,2,FD,1,0.6240540102101038
body_configuration,2,FD,2,0.768513862576984
body_configuration,2,FD,3,0.8327722750085532
body_configuration,2,FD,4,0.8691069703656681
body_configuration,2,FD,5,0.8924706066792352
body_configuration,2,FD,6,0.9087569540025552
body_configuration,2,FD,7,0.9207587877776622
body_configuration,2,FD,8,0.929970284360598
body_configuration,2,FD,9,0.9372632038769063
body_configuration,2,FD,10,0.9431804156211179
body_configuration,2,FD,11,0.9480776317113684
body_configuration,2,FD,12,0.9521976615167723
body_configuration,2,FD,13,0.9557119126198111
body_configuration,2,FD,14,0.9587448394214972
body_configuration,2,FD,15,0.9613889898986087
body_configuration,2,FD,16,0.9637146145684813
body_configuration,2,FD,17,0.9657760001217123
body_configuration,2,FD,18,0.9676157602139229
body_configuration,2,FD,19,0.9692678129123588
body_configuration,2,FD,20,0.9707594910271262
body_configuration,2,FD,21,0.9721130663051235
body_configuration,2,FD,22,0.9733468690141377
body_configuration,2,FD,23,0.9744761229161673
body_configuration,2,FD,24,0.9755135766087911
body_configuration,2,FD,25,0.9764699869099225
body_configuration,2,FD,26,0.9773544932183484
body_configuration,2,FD,27,0.9781749104986943
body_configuration,2,FD,28,0.9789379608062235
body_configuration,2,FD,29,0.9796494578847798
body_configuration,2,FD,30,0.9803144555719223
body_configuration,2,FD,31,0.9809373680280346
body_configuration,2,FD,32,0.9815220678390214
body_configuration,2,FD,33,0.9820719666019325
body_configuration,2,FD,34,0.98259008153718
body_configuration,2,FD,35,0.9830790908747409
body_configuration,2,FD,36,0.9835413801612585
body_configuration,2,FD,37,0.9839790811781879
body_configuration,2,FD,38,0.9843941048108681
body_configuration,2,FD,39,0.9847881689377384
body_configuration,2,FD,40,0.9851628221982408
body_configuration,2,FD,41,0.9855194643328603
body_configuration,2,FD,42,0.9858593636585328
body_configuration,2,FD,43,0.9861836721393145
body_configuration,2,FD,44,0.9864934384297183
body_configuration,2,FD,45,0.9867896192019107
body_configuration,2,FD,46,0.9870730890145505
body_configuration,2,FD,47,0.9873446489377159
body_configuration,2,FD,48,0.9876050341130822
body_configuration,2,FD,49,0.9878549203996042
body_configuration,2,FD,50,0.9880949302312123
body_configuration,3,FP,1,0.7317378287498619
body_configuration,3,FP,2,0.8450907713647418
body_configuration,3,FP,3,0.8911041923903532
body_configuration,3,FP,4,0.9160424890528948
body_configuration,3,FP,5,0.9316869118734731
body_configuration,3,FP,6,0.9424168123322689
body_configuration,3,FP,7,0.9502335951087445
body_configuration,3,FP,8,0.9561818115063796
body_configuration,3,FP,9,0.9608599383837204
body_configuration,3,FP,10,0.964635527783189
body_configuration,3,FP,11,0.9677467872714954
body_configuration,3,FP,12,0.9703548757907471
body_configuration,3,FP,13,0.972572724962597
body_configuration,3,FP,14,0.9744818236050946
body_configuration,3,FP,15,0.9761424486177868
body_configuration,3,FP,16,0.9776001452237828
body_configuration,3,FP,17,0.9788899683492486
body_configuration,3,FP,18,0.980039338429984
body_configuration,3,FP,19,0.9810700124560433
body_configuration,3,FP,20,0.9819994743469214
body_configuration,3,FP,21,0.9828419348927289
body_configuration,3,FP,22,0.983609063454131
body_configuration,3,FP,23,0.9843105317788187
body_configuration,3,FP,24,0.9849544239093704
